,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,XY (CABA),pos x,pos y,VICTIMA,ACUSADO
0,2016-0001,1,2016-01-01,2016,1,1,4,AVENIDA,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,MOTO,AUTO
1,2016-0002,1,2016-01-02,2016,1,2,1,GRAL PAZ,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,AUTO,PASAJEROS
2,2016-0003,1,2016-01-03,2016,1,3,7,AVENIDA,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,MOTO,AUTO
3,2016-0004,1,2016-01-10,2016,1,10,0,AVENIDA,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,MOTO,SD
4,2016-0005,1,2016-01-21,2016,1,21,5,AVENIDA,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,MOTO,PASAJEROS
5,2016-0008,1,2016-01-24,2016,1,24,18,AVENIDA,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,MOTO,OBJETO FIJO
6,2016-0009,1,2016-01-24,2016,1,24,19,CALLE,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,MOTO,AUTO
7,2016-0010,1,2016-01-29,2016,1,29,15,GRAL PAZ,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,MOTO,AUTO
8,2016-0012,1,2016-02-08,2016,2,8,1,AVENIDA,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,MOTO,CARGAS
9,2016-0013,1,2016-02-10,2016,2,10,11,AVENIDA,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,PEATON,AUTO
10,2016-0015,1,2016-02-14,2016,2,14,5,AVENIDA,Point (102357.43746828 103343.52002839),-58.4376002,-34.59912758,PEATON,AUTO
11,2016-0016,1,2016-02-14,2016,2,14,22,AVENIDA,Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,MOTO,AUTO
12,2016-0017,1,2016-02-15,2016,2,15,16,AVENIDA,Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,PEATON,MOTO
13,2016-0019,1,2016-02-17,2016,2,17,9,CALLE,Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,PEATON,PASAJEROS
14,2016-0020,1,2016-02-17,2016,2,17,16,CALLE,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,PEATON,AUTO
15,2016-0021,1,2016-02-17,2016,2,17,23,AVENIDA,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,AUTO,AUTO
16,2016-0022,1,2016-02-21,2016,2,21,6,AVENIDA,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,MOTO,AUTO
17,2016-0025,1,2016-02-28,2016,2,28,4,GRAL PAZ,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,AUTO,AUTO
18,2016-0026,1,2016-02-28,2016,2,28,7,CALLE,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,AUTO,OBJETO FIJO
19,2016-0027,1,2016-02-28,2016,2,28,9,AVENIDA,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,AUTO,AUTO
20,2016-0028,1,2016-03-02,2016,3,2,10,AVENIDA,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,PEATON,CARGAS
21,2016-0029,1,2016-03-04,2016,3,4,17,AVENIDA,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,PEATON,PASAJEROS
22,2016-0031,1,2016-03-08,2016,3,8,12,GRAL PAZ,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,MOTO,PASAJEROS
23,2016-0034,1,2016-03-12,2016,3,12,12,AVENIDA,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PEATON,PASAJEROS
24,2016-0035,1,2016-03-13,2016,3,13,6,AVENIDA,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,MOTO,PASAJEROS
25,2016-0036,1,2016-03-14,2016,3,14,0,CALLE,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,MOTO,PASAJEROS
26,2016-0037,1,2016-03-19,2016,3,19,11,AVENIDA,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,MOTO,MOTO
27,2016-0038,1,2016-03-21,2016,3,21,8,GRAL PAZ,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,PEATON,PASAJEROS
28,2016-0039,1,2016-03-23,2016,3,23,1,AVENIDA,Point (105252.60308563 102264.96028996),-58.40603217,-34.6088396,MOTO,PASAJEROS
29,2016-0041,2,2016-03-29,2016,3,29,11,AVENIDA,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,MOTO,CARGAS
30,2016-0043,1,2016-03-30,2016,3,30,18,AVENIDA,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,PEATON,CARGAS
31,2016-0044,1,2016-03-31,2016,3,31,19,AVENIDA,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,MOTO,MULTIPLE
32,2016-0045,1,2016-04-11,2016,4,11,10,GRAL PAZ,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,MOTO,SD
33,2016-0047,1,2016-04-15,2016,4,15,5,CALLE,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,PEATON,PASAJEROS
34,2016-0048,1,2016-04-15,2016,4,15,17,AVENIDA,Point (101440.29935254 104167.40204334),-58.44759966,-34.5917024,PEATON,PASAJEROS
35,2016-0049,1,2016-04-17,2016,4,17,0,AUTOPISTA,Point (. .),-58.37714647568196,-34.63657525428238,SD,SD
36,2016-0050,1,2016-04-19,2016,4,19,9,AVENIDA,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,PEATON,PASAJEROS
37,2016-0051,1,2016-04-20,2016,4,20,4,AVENIDA,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,MOTO,CARGAS
38,2016-0052,1,2016-04-20,2016,4,20,20,AUTOPISTA,Point (. .),,,MOTO,SD
39,2016-0053,1,2016-04-22,2016,4,22,9,AVENIDA,Point (98073.80557770 105955.73972818),-58.4842918,-34.57558053,PEATON,PASAJEROS
40,2016-0054,1,2016-04-23,2016,4,23,21,AUTOPISTA,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,MOTO,MOTO
41,2016-0055,1,2016-04-25,2016,4,25,20,AVENIDA,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,PEATON,CARGAS
42,2016-0056,1,2016-04-26,2016,4,26,4,AVENIDA,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,MOTO,OBJETO FIJO
43,2016-0058,1,2016-05-04,2016,5,4,14,CALLE,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,PEATON,MOTO
